# q=4.941618e-01 chizA=0.000000e+00 chizB=0.000000e+00 f0=2.000000e+01
# M=5.015448e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+02 phi=-4.950961e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
2.563476562e-02 -1.557902027565e-21 1.459946567065e-22 0.000000000000e+00 0.000000000000e+00
2.587890625e-02 -1.569721568542e-21 7.712761036091e-23 0.000000000000e+00 0.000000000000e+00
2.612304688e-02 -1.578553496056e-21 7.141591544177e-24 0.000000000000e+00 0.000000000000e+00
2.636718750e-02 -1.584304430508e-21 -6.384381170195e-23 0.000000000000e+00 0.000000000000e+00
2.661132812e-02 -1.586884659598e-21 -1.357021767489e-22 0.000000000000e+00 0.000000000000e+00
2.685546875e-02 -1.586208320688e-21 -2.083000510358e-22 0.000000000000e+00 0.000000000000e+00
2.709960938e-02 -1.582193999707e-21 -2.814969972547e-22 0.000000000000e+00 0.000000000000e+00
2.734375000e-02 -1.574765393857e-21 -3.551457580754e-22 0.000000000000e+00 0.000000000000e+00
2.758789062e-02 -1.563851797049e-21 -4.290923448186e-22 0.000000000000e+00 0.000000000000e+00
2.783203125e-02 -1.549388592018e-21 -5.031761532404e-22 0.000000000000e+00 0.000000000000e+00
2.807617187e-02 -1.531317750744e-21 -5.772301097624e-22 0.000000000000e+00 0.000000000000e+00
2.832031250e-02 -1.509588297915e-21 -6.510807586146e-22 0.000000000000e+00 0.000000000000e+00
2.856445312e-02 -1.484156686176e-21 -7.245480839230e-22 0.000000000000e+00 0.000000000000e+00
2.880859375e-02 -1.454987549731e-21 -7.974460368249e-22 0.000000000000e+00 0.000000000000e+00
2.905273437e-02 -1.422054314941e-21 -8.695829715476e-22 0.000000000000e+00 0.000000000000e+00
2.929687500e-02 -1.385339725679e-21 -9.407619833090e-22 0.000000000000e+00 0.000000000000e+00
2.954101562e-02 -1.344836364281e-21 -1.010781286098e-21 0.000000000000e+00 0.000000000000e+00
2.978515625e-02 -1.300547165565e-21 -1.079434630611e-21 0.000000000000e+00 0.000000000000e+00
3.002929688e-02 -1.252485926539e-21 -1.146511506971e-21 0.000000000000e+00 0.000000000000e+00
3.027343750e-02 -1.200677890937e-21 -1.211797275898e-21 0.000000000000e+00 0.000000000000e+00
3.051757812e-02 -1.145160323483e-21 -1.275074263983e-21 0.000000000000e+00 0.000000000000e+00
3.076171875e-02 -1.085982977407e-21 -1.336122473463e-21 0.000000000000e+00 0.000000000000e+00
3.100585938e-02 -1.023208529725e-21 -1.394720243313e-21 0.000000000000e+00 0.000000000000e+00
3.125000000e-02 -9.569129893504e-22 -1.450644952387e-21 0.000000000000e+00 0.000000000000e+00
3.149414062e-02 -8.871862224149e-22 -1.503673452516e-21 0.000000000000e+00 0.000000000000e+00
3.173828125e-02 -8.141325444630e-22 -1.553582587323e-21 0.000000000000e+00 0.000000000000e+00
3.198242188e-02 -7.378708613150e-22 -1.600150654273e-21 0.000000000000e+00 0.000000000000e+00
3.222656250e-02 -6.585348874646e-22 -1.643158390664e-21 0.000000000000e+00 0.000000000000e+00
3.247070312e-02 -5.762733410389e-22 -1.682389920162e-21 0.000000000000e+00 0.000000000000e+00
3.271484375e-02 -4.912500891482e-22 -1.717633731072e-21 0.000000000000e+00 0.000000000000e+00
3.295898438e-02 -4.036446235039e-22 -1.748683354722e-21 0.000000000000e+00 0.000000000000e+00
3.320312500e-02 -3.136524464276e-22 -1.775338308812e-21 0.000000000000e+00 0.000000000000e+00
3.344726562e-02 -2.214845124242e-22 -1.797405820132e-21 0.000000000000e+00 0.000000000000e+00
3.369140625e-02 -1.273670230011e-22 -1.814702017514e-21 0.000000000000e+00 0.000000000000e+00
3.393554688e-02 -3.154119772377e-23 -1.827053083487e-21 0.000000000000e+00 0.000000000000e+00
3.417968750e-02 6.573702243316e-23 -1.834296413329e-21 0.000000000000e+00 0.000000000000e+00
3.442382812e-02 1.641967554344e-22 -1.836281602896e-21 0.000000000000e+00 0.000000000000e+00
3.466796875e-02 2.635523693048e-22 -1.832871736387e-21 0.000000000000e+00 0.000000000000e+00
3.491210938e-02 3.635048278794e-22 -1.823944959245e-21 0.000000000000e+00 0.000000000000e+00
3.515625000e-02 4.637424633091e-22 -1.809395680342e-21 0.000000000000e+00 0.000000000000e+00
3.540039062e-02 5.639417829965e-22 -1.789135726148e-21 0.000000000000e+00 0.000000000000e+00
3.564453125e-02 6.637678554270e-22 -1.763095502624e-21 0.000000000000e+00 0.000000000000e+00
3.588867188e-02 7.628748032233e-22 -1.731225295632e-21 0.000000000000e+00 0.000000000000e+00
3.613281250e-02 8.609078665991e-22 -1.693496438461e-21 0.000000000000e+00 0.000000000000e+00
3.637695312e-02 9.575047828585e-22 -1.649902302268e-21 0.000000000000e+00 0.000000000000e+00
3.662109375e-02 1.052297138935e-21 -1.600459212153e-21 0.000000000000e+00 0.000000000000e+00
3.686523438e-02 1.144911424770e-21 -1.545207469278e-21 0.000000000000e+00 0.000000000000e+00
3.710937500e-02 1.234969869279e-21 -1.484212620748e-21 0.000000000000e+00 0.000000000000e+00
3.735351562e-02 1.322093133552e-21 -1.417565888703e-21 0.000000000000e+00 0.000000000000e+00
3.759765625e-02 1.405902292666e-21 -1.345384623770e-21 0.000000000000e+00 0.000000000000e+00
3.784179687e-02 1.486020667751e-21 -1.267812712975e-21 0.000000000000e+00 0.000000000000e+00
3.808593750e-02 1.562075510037e-21 -1.185021086496e-21 0.000000000000e+00 0.000000000000e+00
3.833007812e-02 1.633699324607e-21 -1.097208758498e-21 0.000000000000e+00 0.000000000000e+00
3.857421875e-02 1.700532774538e-21 -1.004602280725e-21 0.000000000000e+00 0.000000000000e+00
3.881835937e-02 1.762227057873e-21 -9.074552964776e-22 0.000000000000e+00 0.000000000000e+00
3.906250000e-02 1.818446010051e-21 -8.060481827661e-22 0.000000000000e+00 0.000000000000e+00
3.930664062e-02 1.868868141430e-21 -7.006877209140e-22 0.000000000000e+00 0.000000000000e+00
3.955078125e-02 1.913188445561e-21 -5.917075931184e-22 0.000000000000e+00 0.000000000000e+00
3.979492188e-02 1.951121073910e-21 -4.794668363649e-22 0.000000000000e+00 0.000000000000e+00
4.003906250e-02 1.982401679532e-21 -3.643482050082e-22 0.000000000000e+00 0.000000000000e+00
4.028320312e-02 2.006789436837e-21 -2.467568814123e-22 0.000000000000e+00 0.000000000000e+00
4.052734375e-02 2.024068993093e-21 -1.271191228432e-22 0.000000000000e+00 0.000000000000e+00
4.077148438e-02 2.034052485931e-21 -5.881714239822e-24 0.000000000000e+00 0.000000000000e+00
4.101562500e-02 2.036581571496e-21 1.164903282266e-22 0.000000000000e+00 0.000000000000e+00
4.125976562e-02 2.031529101145e-21 2.395165194229e-22 0.000000000000e+00 0.000000000000e+00
4.150390625e-02 2.018800608915e-21 3.627031016926e-22 0.000000000000e+00 0.000000000000e+00
4.174804688e-02 1.998335905259e-21 4.855448778010e-22 0.000000000000e+00 0.000000000000e+00
4.199218750e-02 1.970110660179e-21 6.075273006626e-22 0.000000000000e+00 0.000000000000e+00
4.223632812e-02 1.934137085852e-21 7.281300495839e-22 0.000000000000e+00 0.000000000000e+00
4.248046875e-02 1.890464627749e-21 8.468298897927e-22 0.000000000000e+00 0.000000000000e+00
4.272460938e-02 1.839180608116e-21 9.631033946789e-22 0.000000000000e+00 0.000000000000e+00
4.296875000e-02 1.780411318728e-21 1.076429305889e-21 0.000000000000e+00 0.000000000000e+00
4.321289062e-02 1.714321735203e-21 1.186292104478e-21 0.000000000000e+00 0.000000000000e+00
